feed_flow_m3_h,feed_temp_C,reflux_ratio_LD,reboiler_steam_t_h,top_pressure_bar_a,top_temp_C,bottoms_temp_C,purity_lab_pct_vv
11.5,83.97,2.71,2.89,1.171,78.31,102.52,94.99
11.82,82.53,2.82,2.11,1.145,78.03,102.68,94.76
11.38,88.14,3.08,3.25,1.196,78.57,103.51,94.7
11.23,89.35,3.37,2.71,1.194,78.52,103.06,94.65
11.97,85.26,2.4,2.95,1.161,78.19,102.31,94.62
12.53,81.13,2.88,2.63,1.177,78.33,102.08,95.59
11.08,89.19,3.1,2.91,1.167,78.39,102.87,94.6
12.0,85.56,2.25,1.68,1.125,77.8,101.2,93.13
11.61,88.47,2.65,1.86,1.125,77.93,101.42,93.59
11.41,85.9,3.29,1.71,1.151,78.15,101.74,94.03
12.51,85.17,2.35,2.45,1.141,78.2,101.7,94.21
11.69,85.01,2.31,2.93,1.161,78.21,102.22,94.45
12.9,89.24,2.73,2.04,1.133,77.98,101.39,93.59
11.53,89.16,3.16,3.26,1.191,78.53,103.47,94.69
12.23,81.3,2.65,1.91,1.14,78.0,101.51,94.65
11.86,83.94,2.79,2.9,1.164,78.29,102.31,95.3
11.55,89.91,3.69,1.78,1.153,78.3,102.24,93.87
12.35,85.19,2.25,2.05,1.121,77.9,100.48,93.94
11.91,83.01,2.71,2.85,1.163,78.36,102.12,95.27
12.36,86.01,3.29,2.85,1.185,78.42,103.31,95.15
11.97,85.76,2.83,2.27,1.152,78.05,102.28,94.52
11.35,85.79,3.71,1.59,1.158,78.1,102.54,94.41
11.94,84.94,2.23,1.53,1.131,77.73,100.22,93.09
12.03,85.32,3.51,2.43,1.172,78.33,102.84,95.13
12.58,85.0,3.31,2.68,1.18,78.47,102.86,95.16
11.46,86.73,3.5,2.45,1.184,78.23,103.13,94.87
11.98,84.21,2.73,1.7,1.14,77.85,101.3,94.11
10.97,85.36,2.86,1.85,1.146,77.98,101.55,94.17
12.39,85.68,3.68,2.87,1.192,78.45,103.69,95.36
11.35,88.87,2.66,2.42,1.173,78.08,101.87,94.1
10.92,86.82,2.95,2.59,1.165,78.16,102.71,94.71
11.96,85.76,3.72,2.0,1.164,78.3,102.49,94.79
12.66,87.18,3.18,2.41,1.172,78.26,102.76,94.49
11.09,86.89,3.73,1.89,1.182,78.33,102.51,94.29
11.35,88.39,3.24,1.66,1.161,77.98,101.76,93.67
11.55,87.11,3.07,3.23,1.187,78.4,103.06,94.89
11.32,89.95,3.35,1.56,1.155,78.0,101.33,93.62
12.23,88.96,3.77,2.47,1.188,78.49,102.8,94.58
11.52,85.91,3.13,3.2,1.188,78.55,103.47,95.24
11.57,85.09,3.14,1.9,1.157,78.11,101.36,94.58
12.35,87.94,2.89,2.85,1.177,78.44,103.03,94.73
11.55,87.14,2.83,1.8,1.142,77.94,101.38,93.87
12.26,85.79,2.82,1.69,1.154,77.91,100.99,93.93
11.42,82.75,2.36,1.72,1.123,77.73,100.96,93.98
11.27,81.97,3.02,2.08,1.167,78.07,101.66,95.04
10.9,86.77,2.49,2.83,1.182,78.3,102.29,94.32
13.12,87.7,3.18,2.98,1.203,78.5,103.09,94.66
11.81,87.77,2.46,2.62,1.157,77.93,102.29,94.23
12.15,83.17,2.62,2.39,1.15,78.2,102.13,94.87
11.98,88.28,2.91,2.55,1.147,78.09,102.61,94.35
12.1,84.82,3.11,3.15,1.185,78.48,103.18,95.27
12.03,86.85,3.2,2.13,1.183,78.27,102.5,94.41
13.14,86.92,3.47,1.79,1.14,78.17,102.07,94.15
11.38,84.23,3.44,2.54,1.161,78.45,102.94,95.32
11.07,84.7,2.62,2.85,1.173,78.33,102.54,94.94
11.39,81.44,2.38,1.56,1.129,77.78,100.78,94.1
11.2,83.98,2.63,2.41,1.134,78.02,101.63,94.62
12.45,82.03,3.21,2.07,1.157,78.2,102.29,95.18
12.49,86.96,3.13,3.27,1.192,78.5,103.05,95.07
11.42,86.14,2.68,2.36,1.137,77.93,102.05,94.33
11.17,88.01,3.72,2.2,1.183,78.35,102.79,94.57
11.79,86.78,2.74,2.1,1.134,78.09,101.72,94.18
12.83,84.6,3.1,2.3,1.172,78.23,102.03,94.98
10.31,86.76,3.27,2.26,1.166,78.26,102.65,94.77
12.32,85.14,3.11,1.84,1.142,78.21,101.74,94.34
11.35,87.34,2.36,2.23,1.125,78.0,101.66,93.87
12.62,86.69,2.63,1.77,1.131,77.97,101.04,93.77
11.35,83.83,3.74,2.75,1.189,78.6,103.3,95.64
11.83,86.0,2.82,3.29,1.18,78.6,103.16,95.11
11.1,86.12,2.37,2.13,1.132,77.91,101.6,94.0
11.41,85.32,3.47,1.84,1.155,78.27,101.82,94.44
12.83,87.97,3.11,1.63,1.151,78.14,101.39,93.52
12.49,89.77,2.3,3.05,1.153,78.21,102.23,93.71
11.76,85.19,2.2,1.67,1.119,77.82,100.6,93.32
11.48,85.23,2.37,2.78,1.161,78.06,101.99,94.55
10.86,81.05,3.21,1.89,1.152,78.14,102.18,95.24
11.76,85.72,2.86,3.21,1.189,78.52,103.26,95.15
11.98,85.04,2.54,1.62,1.144,77.76,100.95,93.74
11.95,81.25,3.23,1.69,1.144,77.92,101.94,95.03
11.94,86.63,3.09,1.96,1.154,78.11,102.14,94.2
11.33,87.3,2.25,2.69,1.121,78.07,101.73,93.94
11.96,84.38,3.4,2.07,1.159,78.25,102.16,94.97
11.98,85.18,2.45,3.26,1.179,78.38,102.9,94.71
12.77,83.87,2.59,1.94,1.127,78.01,101.87,94.34
13.12,87.68,2.79,1.93,1.156,78.13,100.99,93.83
11.92,82.66,2.59,3.16,1.154,78.4,102.62,95.17
11.54,85.31,2.33,3.0,1.175,78.11,102.5,94.67
11.96,90.29,3.06,1.56,1.134,78.01,101.21,93.26
11.64,86.11,2.44,2.68,1.145,78.18,102.27,94.22
11.55,87.03,3.1,1.94,1.146,78.11,101.93,94.15
11.96,85.68,2.67,3.17,1.172,78.51,102.55,94.82
11.37,83.42,3.38,2.69,1.169,78.46,102.92,95.57
12.36,85.93,3.68,1.92,1.151,78.24,102.53,94.57
11.94,86.89,2.73,3.01,1.166,78.39,102.51,94.5
12.15,83.75,2.9,2.3,1.166,78.04,102.24,95.0
11.89,86.75,3.62,2.89,1.194,78.66,103.57,95.1
11.56,88.74,2.91,2.77,1.183,78.33,102.57,94.54
11.43,88.35,2.56,1.96,1.132,78.08,101.44,93.64
11.86,82.52,2.53,2.73,1.155,78.25,102.11,95.15
11.67,83.85,3.72,2.86,1.189,78.63,103.62,95.69
12.14,82.45,2.63,2.69,1.162,78.23,102.02,95.22
12.0,88.36,2.76,2.98,1.176,78.26,103.07,94.36
11.18,87.34,2.98,1.95,1.166,78.06,101.7,94.22
12.04,87.55,2.67,1.65,1.139,77.9,101.39,93.44
11.19,84.07,2.78,2.11,1.149,78.14,102.26,94.54
11.63,83.43,2.93,2.68,1.181,78.34,102.94,95.2
11.82,86.17,3.12,2.15,1.149,78.23,102.14,94.53
10.75,86.22,2.47,2.56,1.14,78.18,102.0,94.43
12.05,84.12,2.3,1.6,1.128,77.7,100.66,93.57
12.09,86.31,3.23,1.8,1.152,78.12,101.92,94.09
11.91,87.42,3.56,2.71,1.185,78.48,103.03,94.99
11.75,86.5,3.04,3.19,1.194,78.41,102.82,94.97
11.78,83.71,2.41,2.06,1.134,77.81,101.39,94.18
11.41,81.35,3.01,3.24,1.184,78.58,103.29,95.9
11.84,85.43,2.33,2.58,1.154,78.2,102.2,94.22
11.67,86.36,3.67,1.76,1.167,78.33,102.69,94.23
12.06,85.43,3.33,2.74,1.189,78.38,102.71,95.23
11.28,85.06,2.78,2.46,1.159,78.3,101.93,94.86
12.14,84.48,3.7,2.34,1.18,78.54,103.13,95.15
12.09,87.57,2.93,2.52,1.139,78.19,102.65,94.57
11.92,85.88,2.25,2.96,1.171,78.23,102.21,94.38
11.74,86.27,2.28,3.26,1.152,78.44,102.58,94.29
12.33,83.86,3.63,2.61,1.182,78.5,102.75,95.64
11.0,84.64,2.69,2.59,1.184,78.29,102.75,94.84
12.28,86.36,3.29,1.75,1.147,78.05,101.69,94.18
12.15,83.79,3.44,2.05,1.146,78.21,102.48,94.75
12.17,83.23,3.02,1.98,1.166,78.16,101.93,94.85
12.23,85.28,2.65,3.08,1.166,78.34,102.52,94.77
11.61,88.64,3.43,1.61,1.148,78.1,102.05,93.73
11.84,86.42,3.33,2.75,1.177,78.45,103.38,94.83
12.38,89.21,2.62,2.76,1.169,78.16,102.32,94.18
12.26,85.71,2.81,3.16,1.186,78.55,103.02,95.06
12.12,85.32,3.33,2.08,1.159,78.21,102.43,94.91
11.09,82.94,3.61,2.89,1.201,78.56,103.73,95.47
12.32,84.73,2.52,1.89,1.126,77.87,101.44,94.09
12.7,89.16,2.22,2.89,1.162,78.16,101.86,93.69
12.61,86.72,2.34,2.0,1.127,77.82,100.95,93.32
12.14,87.61,3.38,2.05,1.168,78.29,102.16,94.28
11.07,87.55,2.66,1.62,1.124,77.83,100.42,93.41
12.57,85.98,2.28,2.53,1.143,78.12,101.41,94.23
11.91,85.55,2.42,3.23,1.185,78.27,102.63,94.53
10.48,86.26,2.24,2.07,1.122,77.81,101.0,93.78
12.23,87.48,2.49,3.12,1.157,78.25,102.42,94.33
11.1,87.01,3.4,1.7,1.157,78.13,102.12,94.13
11.22,87.08,2.29,1.65,1.12,77.65,100.8,93.1
11.62,86.34,3.38,2.85,1.179,78.56,103.4,95.18
12.76,84.31,3.21,2.38,1.165,78.26,102.46,95.14
11.78,85.42,2.94,2.57,1.186,78.34,102.34,94.73
12.16,83.93,2.37,2.93,1.15,78.19,102.07,94.84
13.05,88.21,3.44,2.73,1.179,78.54,103.19,94.62
12.96,81.38,2.58,1.89,1.138,77.84,100.86,94.56
11.94,85.52,3.4,2.91,1.176,78.44,103.09,95.35
11.86,91.25,2.93,3.08,1.178,78.49,103.16,94.13
11.24,85.25,3.3,2.29,1.171,78.24,102.69,95.01
11.58,83.5,3.29,1.64,1.138,78.14,101.72,94.58
12.26,85.96,2.83,3.02,1.186,78.33,102.57,94.91
12.24,88.84,2.97,2.5,1.152,78.29,102.53,94.22
12.07,85.65,3.1,3.2,1.184,78.47,103.14,95.04
12.6,87.35,2.52,2.73,1.162,78.06,102.16,94.31
11.54,86.22,2.92,1.92,1.178,78.15,101.45,94.29
11.97,85.18,2.28,2.6,1.131,78.06,102.23,94.32
12.44,92.93,2.49,2.55,1.156,78.2,102.32,93.22
12.35,86.16,2.89,2.23,1.179,78.15,101.8,94.54
12.64,84.82,3.62,1.66,1.15,78.03,101.81,94.39
12.24,84.92,3.1,2.25,1.17,78.24,102.22,94.67
11.81,86.84,2.44,2.21,1.144,78.08,101.67,93.99
12.22,86.9,3.59,1.86,1.146,78.32,102.58,94.38
11.4,87.7,3.29,1.98,1.161,78.3,102.11,94.34
11.02,86.31,3.03,2.49,1.156,78.3,102.15,94.69
12.35,82.85,2.31,2.95,1.161,78.2,102.31,94.75
11.97,87.17,2.81,1.88,1.127,78.0,101.57,93.94
12.19,85.32,2.53,3.27,1.181,78.29,102.45,94.71
10.98,85.37,3.71,2.34,1.153,78.48,102.9,95.13
11.78,82.74,2.63,2.77,1.161,78.3,102.29,95.24
11.64,84.74,2.28,3.05,1.174,78.26,102.09,94.59
11.48,84.4,2.21,1.59,1.124,77.65,100.62,93.55
10.65,85.92,2.73,2.32,1.149,78.17,102.2,94.56
11.8,82.8,2.21,2.01,1.129,77.81,101.3,94.32
12.54,86.11,2.29,3.08,1.158,78.34,102.15,94.41
12.23,86.27,2.95,3.28,1.212,78.46,103.12,95.21
11.64,83.54,2.71,2.06,1.144,77.98,101.79,94.62
11.99,84.63,3.29,2.38,1.168,78.28,102.49,95.06
12.45,84.11,2.64,2.44,1.146,78.05,101.91,94.86
10.34,88.0,3.22,2.06,1.152,78.11,102.67,94.27
11.93,80.44,3.52,2.85,1.193,78.52,102.74,96.03
12.33,85.24,3.4,2.69,1.173,78.25,102.89,95.21
12.41,82.35,2.57,2.77,1.153,78.38,102.09,95.15
13.02,85.05,2.48,1.76,1.125,77.88,101.02,93.6
12.68,87.86,3.01,1.81,1.141,78.05,102.04,93.84
12.19,84.61,2.4,2.57,1.153,78.03,101.86,94.47
12.18,86.3,3.76,1.6,1.153,78.2,102.09,94.13
12.47,84.14,2.91,1.66,1.137,77.95,101.41,94.18
11.68,90.27,3.06,2.53,1.159,78.3,102.45,94.14
11.98,88.01,2.98,1.57,1.15,77.82,101.43,93.59
12.54,88.48,3.32,2.41,1.17,78.32,103.26,94.52
13.17,83.08,3.12,2.7,1.169,78.22,102.61,95.33
11.9,83.58,3.65,2.28,1.177,78.37,102.78,95.33
11.97,88.38,3.66,1.82,1.161,78.16,102.29,94.19
12.12,85.57,2.93,1.82,1.127,77.96,101.06,94.25
12.81,85.43,2.8,3.13,1.175,78.39,103.08,95.04
11.98,86.73,3.76,2.35,1.195,78.51,103.01,94.88
12.88,83.24,2.64,2.08,1.149,78.11,101.11,94.58
11.42,87.7,3.64,2.29,1.186,78.39,102.77,94.89
11.89,86.04,2.52,3.0,1.159,78.2,102.55,94.58
11.88,87.05,3.02,2.27,1.143,78.3,101.96,94.63
12.47,84.52,3.65,2.84,1.183,78.46,103.73,95.53
12.63,87.13,2.22,3.24,1.179,78.23,102.34,94.05
11.09,84.45,2.93,1.82,1.133,77.99,101.21,94.27
11.45,88.1,3.66,2.26,1.165,78.32,103.0,94.66
12.2,88.49,3.3,2.85,1.192,78.58,103.09,94.62
11.6,88.01,2.51,3.27,1.171,78.41,102.84,94.27
11.09,87.14,3.1,1.6,1.139,78.07,101.11,93.61
12.62,87.39,3.06,1.53,1.142,77.93,101.04,93.65
12.3,80.05,3.77,2.7,1.189,78.63,103.19,96.16
12.3,87.84,2.81,2.94,1.168,78.34,102.69,94.52
11.71,85.4,3.47,2.76,1.185,78.48,103.17,95.29
12.62,86.21,2.58,1.67,1.123,77.87,101.36,93.58
11.86,85.38,2.75,2.2,1.149,78.11,102.19,94.49
12.66,82.94,2.85,2.0,1.153,78.09,101.72,94.77
11.45,84.82,3.7,2.46,1.17,78.44,103.06,95.25
11.49,87.45,3.34,2.59,1.173,78.27,103.32,94.54
12.12,89.12,2.34,1.63,1.112,77.74,100.77,92.88
11.58,84.63,2.44,2.39,1.155,77.84,101.97,94.5
12.41,84.01,3.2,3.29,1.197,78.57,103.42,95.47
12.16,89.19,3.64,2.83,1.199,78.5,103.43,94.86
11.45,84.06,2.81,2.12,1.159,78.14,101.73,94.56
12.04,90.56,3.32,2.12,1.172,78.01,102.14,93.64
11.79,86.11,3.42,2.81,1.19,78.65,103.3,95.28
12.55,84.06,2.39,2.95,1.154,78.2,102.12,94.76
11.62,88.17,2.35,2.07,1.145,77.79,101.24,93.37
11.74,89.73,3.76,2.67,1.178,78.58,103.49,94.57
12.73,82.84,2.62,2.93,1.19,78.33,103.04,95.2
13.34,89.43,2.8,1.62,1.137,77.93,100.74,93.0
13.2,85.38,2.37,1.73,1.133,77.98,100.91,93.58
12.04,89.27,3.21,2.65,1.161,78.31,102.97,94.66
12.13,85.16,3.56,2.03,1.175,78.29,102.37,94.94
12.92,82.53,3.42,1.98,1.172,78.22,102.46,95.07
11.93,87.1,2.7,2.68,1.146,78.18,102.45,94.5
11.41,88.04,2.83,3.3,1.176,78.5,103.27,94.54
12.07,90.61,2.71,1.93,1.136,78.08,101.36,93.34
12.27,89.79,2.46,2.11,1.133,77.9,101.37,93.37
11.5,87.53,3.02,1.62,1.154,78.0,101.37,93.58
11.01,85.48,2.79,2.89,1.191,78.41,102.42,94.8
11.14,84.85,3.43,1.77,1.144,78.19,102.06,94.74
12.4,85.35,2.69,1.98,1.152,77.86,101.25,94.21
11.54,84.17,3.3,1.74,1.147,78.11,101.62,94.43
11.92,85.4,3.78,1.71,1.175,78.19,101.97,94.42
12.13,80.4,3.05,2.77,1.148,78.46,103.03,95.97
12.37,86.39,3.72,2.61,1.18,78.5,103.14,95.23
11.8,85.94,3.57,2.46,1.189,78.57,102.74,94.98
12.3,91.64,2.55,2.26,1.139,77.94,101.88,93.35
11.47,87.67,3.17,2.46,1.179,78.34,102.44,94.69
11.78,84.94,3.45,2.47,1.169,78.32,102.93,95.13
11.39,87.24,2.81,2.43,1.169,78.32,102.1,94.31
12.68,83.3,3.03,1.52,1.143,78.06,101.41,94.05
11.98,84.67,2.73,2.53,1.154,78.11,102.22,94.8
11.56,81.89,3.34,2.27,1.158,78.34,101.99,95.4
11.79,89.16,3.39,2.41,1.169,78.34,103.06,94.3
11.87,87.31,2.79,1.94,1.155,77.88,101.8,93.92
12.42,83.41,3.37,1.9,1.156,78.08,101.75,94.94
11.04,85.87,3.33,2.41,1.163,78.34,102.86,95.03
11.38,88.09,3.68,1.51,1.186,78.17,101.92,93.7
11.77,87.09,3.44,2.34,1.155,78.31,102.71,94.92
13.52,86.84,3.57,2.59,1.178,78.49,103.41,94.81
12.57,84.11,2.21,2.75,1.157,78.13,102.14,94.41
11.93,84.6,3.05,1.93,1.139,78.1,102.05,94.42
12.43,86.21,2.4,2.22,1.141,77.89,101.96,94.07
13.23,88.02,3.1,2.36,1.158,78.25,102.62,94.34
11.86,84.18,2.23,1.77,1.11,77.82,100.65,93.5
11.78,83.53,3.29,2.48,1.175,78.22,102.39,95.24
12.73,88.52,3.39,2.25,1.155,78.41,102.72,94.54
12.3,83.95,2.61,2.94,1.159,78.41,102.12,95.04
12.4,88.37,2.55,1.61,1.14,77.83,100.86,93.12
11.7,86.53,2.79,2.31,1.142,78.3,101.9,94.51
13.15,87.94,2.53,3.22,1.179,78.3,102.6,94.13
13.03,89.84,2.57,1.72,1.143,77.79,101.41,92.94
12.34,87.52,3.26,1.76,1.16,78.04,101.91,93.84
12.41,87.71,2.65,2.24,1.153,78.01,101.72,93.95
10.78,83.98,2.64,2.68,1.158,78.36,102.47,94.93
12.38,84.47,2.42,2.66,1.14,78.14,101.92,94.63
11.88,87.42,2.39,2.54,1.151,78.08,102.13,94.13
12.26,89.38,3.71,2.48,1.186,78.5,103.61,94.63
12.41,89.06,2.45,2.17,1.136,78.11,101.45,93.82
11.8,91.1,3.44,1.74,1.144,78.15,101.96,93.43
10.99,86.68,3.26,2.08,1.167,78.17,102.48,94.54
12.22,86.45,3.67,2.13,1.16,78.36,102.21,94.78
11.56,88.21,2.72,1.99,1.147,78.1,101.25,93.73
11.8,86.04,3.06,3.21,1.181,78.51,103.06,95.05
11.64,85.86,3.06,2.83,1.158,78.51,102.48,95.05
11.8,83.7,3.03,1.65,1.157,78.0,101.48,94.24
10.61,88.18,3.14,2.57,1.175,78.31,102.71,94.66
12.73,83.64,3.15,2.04,1.16,78.19,102.04,94.96
12.15,87.13,2.63,2.09,1.129,78.17,101.57,93.87
12.67,82.88,2.25,1.79,1.124,77.77,101.06,93.66
13.19,88.41,2.66,2.42,1.156,78.24,102.24,94.02
12.01,83.74,3.66,2.76,1.18,78.59,103.69,95.46
10.92,87.86,3.03,2.79,1.189,78.38,102.74,94.7
11.46,82.5,2.91,1.59,1.116,77.93,101.28,94.31
11.28,85.03,3.3,2.77,1.186,78.51,103.38,95.29
11.7,88.59,3.25,3.03,1.166,78.57,103.38,94.84
12.05,84.23,3.45,2.99,1.173,78.59,103.76,95.57
10.8,86.15,2.27,3.3,1.155,78.37,102.48,94.38
12.21,84.95,3.14,2.57,1.175,78.26,102.63,94.93
11.09,80.92,3.18,1.99,1.147,78.09,101.86,95.07
12.18,86.68,2.68,3.08,1.165,78.28,102.76,94.43
11.93,86.95,3.16,3.23,1.179,78.53,103.52,94.9
11.81,83.56,2.53,2.55,1.139,78.12,101.9,94.83
11.96,87.26,3.16,1.57,1.133,77.96,101.98,93.63
11.68,84.25,3.2,2.19,1.15,78.26,101.92,94.9
11.63,83.79,2.89,1.83,1.139,77.92,101.75,94.31
10.99,86.02,3.15,2.71,1.169,78.36,102.56,94.85
11.98,84.5,3.32,2.01,1.134,78.26,102.25,94.62
13.11,91.04,3.06,1.65,1.135,78.12,101.33,93.17
13.19,82.58,3.11,2.05,1.166,78.14,102.03,94.77
12.79,87.62,3.06,2.85,1.17,78.49,102.9,94.73
12.42,88.18,2.3,3.08,1.161,78.35,102.18,93.9
11.59,81.65,2.26,2.38,1.135,77.92,101.24,94.77
12.87,82.19,2.55,1.57,1.119,77.83,100.72,94.03
11.97,87.24,2.97,1.97,1.147,77.99,101.78,94.19
11.96,84.94,2.33,2.98,1.147,78.19,102.48,94.65
11.83,86.84,2.59,3.19,1.171,78.4,103.18,94.5
12.06,88.51,3.17,2.14,1.141,78.09,101.77,94.1
11.74,85.18,2.3,3.04,1.164,78.27,102.43,94.44
11.95,83.66,2.37,2.9,1.143,78.2,102.13,94.69
11.35,80.0,3.05,2.32,1.166,78.19,102.26,95.73
11.78,86.45,2.33,2.26,1.15,78.02,101.53,93.92
13.37,83.96,2.23,2.87,1.138,78.09,102.25,94.46
11.96,86.69,3.33,1.74,1.157,77.97,101.99,94.17
11.86,86.51,3.02,1.82,1.141,78.04,101.65,94.04
12.32,82.95,3.34,1.84,1.165,78.08,102.38,94.94
12.42,89.79,2.48,2.01,1.131,77.92,101.39,93.12
11.33,88.38,2.85,2.93,1.168,78.27,102.75,94.52
11.88,87.87,2.78,1.84,1.136,77.89,101.7,93.77
12.55,83.39,3.64,1.57,1.165,78.05,101.72,94.41
12.16,85.1,2.33,3.05,1.142,78.14,102.15,94.45
12.07,84.8,3.45,1.58,1.156,78.02,102.16,94.32
12.93,85.09,2.91,1.97,1.147,77.99,101.67,94.33
11.59,83.53,2.81,2.19,1.145,78.1,101.45,94.63
12.05,86.96,2.83,1.52,1.129,78.12,101.31,93.31
11.69,86.5,2.63,2.02,1.15,77.94,101.78,94.13
12.89,86.8,3.24,2.75,1.184,78.29,102.77,94.76
10.83,84.89,3.4,2.65,1.194,78.48,102.68,95.42
11.6,88.84,3.63,2.5,1.172,78.35,103.05,94.76
11.68,86.41,2.7,1.57,1.111,77.78,101.13,93.51
12.4,79.98,3.36,2.51,1.167,78.35,102.66,95.96
12.36,84.59,2.46,2.42,1.146,78.07,101.56,94.38
12.84,85.87,3.71,2.59,1.179,78.51,103.37,95.07
11.06,88.12,2.69,2.95,1.18,78.34,102.75,94.36
12.45,85.34,2.83,1.53,1.154,77.87,100.75,93.76
11.82,85.45,2.33,3.23,1.171,78.39,102.31,94.39
11.6,84.54,2.35,2.91,1.14,78.27,102.15,94.6
12.32,87.46,2.25,2.26,1.148,77.91,101.23,93.65
11.45,85.02,2.65,2.12,1.137,78.01,101.68,94.44
10.75,84.67,2.35,2.22,1.139,77.86,101.56,94.05
11.78,84.37,3.41,2.44,1.18,78.42,103.21,95.04
11.1,87.22,2.41,2.95,1.165,78.22,102.42,94.21
11.61,84.83,3.59,2.32,1.172,78.53,103.03,95.11
12.22,82.31,2.77,1.53,1.133,77.81,100.71,94.17
12.19,87.37,2.31,2.18,1.144,78.06,101.18,93.69
12.95,84.46,2.38,3.25,1.175,78.25,102.89,94.89
11.88,86.79,3.23,2.06,1.177,78.05,101.81,94.5
11.08,86.82,3.14,1.8,1.117,78.0,102.07,94.18
11.55,88.65,3.67,2.4,1.169,78.45,103.11,94.56
11.45,88.3,3.32,1.83,1.146,78.21,102.0,94.07
11.27,84.73,2.96,2.78,1.178,78.27,102.67,95.18
12.26,85.63,2.82,1.62,1.136,77.98,100.94,93.86
11.61,83.16,2.95,2.98,1.184,78.37,102.66,95.39
10.81,89.69,2.94,3.26,1.168,78.46,103.1,94.52
12.42,86.97,3.1,3.09,1.18,78.46,103.09,95.03
11.93,89.07,2.25,2.64,1.155,78.21,102.1,93.57
12.21,85.3,3.02,2.14,1.153,78.16,101.78,94.4
12.06,81.49,3.64,1.67,1.152,78.19,101.96,95.04
12.38,89.37,2.98,2.05,1.153,77.98,101.47,93.91
12.02,86.2,2.52,1.73,1.146,77.86,101.08,93.58
12.74,86.29,2.24,1.82,1.104,77.82,100.86,93.31
12.25,86.12,3.48,2.22,1.183,78.44,102.84,95.05
12.24,87.42,2.97,2.54,1.166,78.19,102.88,94.47
12.25,87.17,3.5,1.51,1.139,78.02,101.91,93.63
11.13,82.5,2.49,2.55,1.158,78.05,101.75,94.91
11.9,88.39,2.43,3.19,1.168,78.27,102.67,94.2
11.84,84.84,2.27,3.25,1.178,78.35,102.6,94.49
12.12,84.97,2.54,1.85,1.125,77.84,101.19,93.93
11.18,89.8,2.88,2.65,1.174,78.37,102.21,94.22
12.98,88.03,3.77,2.36,1.169,78.44,103.11,94.59
12.06,85.26,3.78,2.15,1.175,78.3,102.51,94.97
11.27,81.92,2.96,1.54,1.142,77.87,101.25,94.41
10.97,86.36,2.81,2.14,1.147,77.97,101.74,94.25
11.83,87.19,2.4,3.0,1.168,78.13,101.76,94.27
11.95,85.82,2.65,1.74,1.127,77.98,101.32,93.68
11.57,83.26,2.38,1.54,1.132,77.82,101.2,93.77
12.06,84.26,3.41,2.46,1.167,78.29,102.69,95.13
11.62,83.24,3.04,2.24,1.15,78.15,102.01,95.04
12.33,86.47,3.74,2.18,1.171,78.5,103.02,94.59
11.57,87.8,2.96,2.74,1.168,78.27,102.34,94.54
11.98,88.26,3.61,1.83,1.151,78.23,102.27,93.97
12.59,84.39,2.73,2.95,1.177,78.37,102.71,95.13
13.54,86.52,3.72,2.84,1.189,78.58,103.41,95.07
11.4,87.22,3.38,3.01,1.193,78.53,103.37,95.06
11.72,84.88,3.61,2.91,1.174,78.55,103.3,95.25
11.5,85.67,2.32,1.88,1.116,77.85,100.87,93.56
12.47,90.67,2.39,2.34,1.141,77.9,101.77,93.34
11.31,86.45,2.31,2.49,1.136,78.05,101.49,93.95
11.71,87.94,2.26,2.73,1.15,78.13,101.79,94.0
11.98,85.04,2.43,3.05,1.17,78.17,102.3,94.61
11.41,86.09,2.25,1.69,1.133,77.79,100.84,93.3
11.43,82.23,2.72,1.51,1.143,77.76,100.9,94.15
11.71,85.94,3.26,1.87,1.16,77.92,101.75,94.37
10.74,88.62,2.95,2.35,1.15,78.04,102.27,94.35
11.13,90.62,3.79,2.06,1.176,78.36,102.25,94.01
11.75,88.63,3.62,2.78,1.181,78.58,102.92,94.81
12.09,87.51,2.21,2.04,1.136,77.83,101.15,93.52
11.89,86.12,3.35,1.58,1.136,77.94,102.16,94.02
10.94,84.68,3.42,2.96,1.199,78.53,103.25,95.45
11.72,85.65,3.16,2.96,1.184,78.53,103.18,95.08
12.48,87.35,2.95,2.24,1.151,78.15,101.73,94.31
12.33,84.27,3.32,2.34,1.153,78.18,102.59,95.16
11.95,88.05,2.7,1.98,1.144,78.02,101.55,93.75
11.47,83.83,2.9,2.19,1.146,78.1,102.09,94.67
12.38,82.09,3.41,2.91,1.187,78.51,103.12,95.78
11.65,83.77,3.48,3.02,1.182,78.58,103.95,95.58
11.3,82.34,2.78,2.16,1.143,78.12,101.58,95.02
11.52,82.98,3.54,1.82,1.164,78.18,102.55,94.93
12.87,88.49,3.32,2.44,1.184,78.26,102.43,94.61
12.13,85.56,3.27,2.75,1.164,78.42,103.16,94.98
12.7,86.48,3.27,1.92,1.152,78.15,102.35,94.22
11.71,88.55,2.24,3.21,1.168,78.36,102.97,93.98
12.56,88.77,3.64,2.41,1.175,78.32,102.93,94.43
11.64,84.89,3.26,1.66,1.142,78.04,101.33,94.31
11.91,88.92,2.93,2.56,1.185,78.19,102.61,94.28
13.49,86.85,3.32,1.89,1.146,78.17,101.88,94.01
12.46,86.01,2.35,3.23,1.171,78.27,102.34,94.48
11.7,86.97,3.56,1.82,1.153,77.95,102.07,94.42
11.95,82.86,3.52,2.96,1.188,78.65,103.26,95.74
12.2,84.27,2.49,2.95,1.14,78.2,102.59,94.66
